Age,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Batch
75,0.42805799604710215,0.41445915551454543,0.44302549504635064,0.14101974444289792,0.12793226927398257,0.15776060194637218,0.1408006934482297,0.12775116507096895,0.15750114096410608,0.14052040798512966,0.12751469243924185,0.1571624927066419,0.5523131042718887
80,0.4517312876546027,0.4338078915619909,0.4711272453808373,0.14869652138148265,0.13414543218304828,0.16677068143150034,0.14842864688102486,0.13393305664231353,0.166462621218974,0.1480791564277304,0.13365584691809707,0.16607026652925705,0.5523131042718887
85,0.47664810579764993,0.45353589644886716,0.5021592148534505,0.15674720600182168,0.14089306463149093,0.176710350644168,0.15642794627511764,0.1406363770578323,0.1762942682252141,0.15600471662760573,0.14029263471186343,0.1758195532770209,0.5523131042718887
90,0.503132146985757,0.4741143028508087,0.5356571060729673,0.16516639526045268,0.1474965217788543,0.18760465092207332,0.16479279248855744,0.14715602721236445,0.18712896177412797,0.16431374895065154,0.14671234158144705,0.18644503781943353,0.5523131042718887
50,0.32677032515894366,0.3101512408082909,0.34326886893784153,0.10360877591503445,0.09409573085882354,0.114681539765294,0.10353540252568127,0.09403317999891615,0.11458730298315165,0.10343943123742198,0.09395834199109382,0.11446407788902596,0.4449712235946208
55,0.34490995073557545,0.3308088165513672,0.3587481232078668,0.10908532352573513,0.09939108197754534,0.12054822504619551,0.10899862434296234,0.09930488519007,0.12044573874353033,0.10888389755266448,0.09919218585083578,0.12031173163049257,0.4449712235946208
60,0.3641398535989375,0.3520305704318449,0.37585135878304876,0.11475900640037245,0.1048497354388535,0.12653612271442768,0.11464649486273476,0.10474147689119785,0.12641111694593024,0.1145030031243447,0.10460010913323622,0.12624771702359028,0.4449712235946208
65,0.3842321337105131,0.3735103037562316,0.39489244894281933,0.12099807631058188,0.11054677650013375,0.133368787835006,0.1208623080382607,0.11042424910665088,0.13319950791822502,0.12068490201932666,0.11026413836800845,0.13298947542239462,0.4449712235946208
70,0.4054909769246131,0.3942355734924501,0.4169621612830156,0.12749409291166508,0.116274191989276,0.14068518489770981,0.12733104785373195,0.11612105720203454,0.14049029032050653,0.12711606728930608,0.11592105735507555,0.1402357721358046,0.4449712235946208
75,0.4280314058405203,0.41394183898678744,0.442232140981428,0.13417859877259244,0.12210950145288142,0.14850719187271913,0.1339699727222337,0.1219387605048963,0.14826679663573628,0.13370302402328432,0.12170233860079521,0.14795304454473207,0.4449712235946208
