Time,Q_1_M,Q_1_L,Q_1_U,Q_2_M,Q_2_L,Q_2_U,PZ_M,PZ_L,PZ_U,P_C1_M,P_C1_L,P_C1_U,P_C2_M,P_C2_L,P_C2_U,QE_M,QE_L,QE_U,QL_M,QL_L,QL_U,Batch,Set
0,0.7825425860420498,0.7719995628942693,0.7926733794784077,0.21097250536308587,0.19349870541627742,0.22828872384482515,0.14619355518656776,0.09925035529085367,0.20060751234539784,0.6689417761333268,0.6031656934106063,0.732727597616771,0.18226881095271014,0.13343728493397738,0.23990311538464973,0.5618410924127946,0.5172341550951732,0.6058076483503799,0.43815890758720544,0.39419235164962,0.48276584490482677,s3,2gp
14,0.7825425860420498,0.7719995628942693,0.7926733794784077,0.21097250536308587,0.19349870541627742,0.22828872384482515,0.14619355518656776,0.09925035529085367,0.20060751234539784,0.6689417761333268,0.6031656934106063,0.732727597616771,0.18226881095271014,0.13343728493397738,0.23990311538464973,0.5618410924127946,0.5172341550951732,0.6058076483503799,0.43815890758720544,0.39419235164962,0.48276584490482677,s3,2gp
30,0.7825425860420498,0.7719995628942693,0.7926733794784077,0.21097250536308587,0.19349870541627742,0.22828872384482515,0.13531082214648543,0.09208944649993274,0.19223691474497817,0.7148814862979906,0.6453251192793095,0.7719709680503692,0.14855881328812137,0.10550741800893286,0.19916777320619417,0.5905831549373721,0.5409984442358308,0.6306889099617096,0.40941684506262793,0.36931109003829043,0.45900155576416923,s3,2gp
60,0.7825425860420498,0.7719995628942693,0.7926733794784077,0.21097250536308587,0.19349870541627742,0.22828872384482515,0.165698905965443,0.11573190851676372,0.22658662140328006,0.7486686982552307,0.6836774829389866,0.8089359805293037,0.08377531442824154,0.05046327992898105,0.13012528572287185,0.60361905865389,0.5550235639920575,0.6471049224602025,0.39638094134611,0.35289507753979743,0.4449764360079425,s3,2gp
90,0.7825425860420498,0.7719995628942693,0.7926733794784077,0.21097250536308587,0.19349870541627742,0.22828872384482515,0.165698905965443,0.11573190851676372,0.22658662140328006,0.7486686982552307,0.6836774829389866,0.8089359805293037,0.08377531442824154,0.05046327992898105,0.13012528572287185,0.60361905865389,0.5550235639920575,0.6471049224602025,0.39638094134611,0.35289507753979743,0.4449764360079425,s3,2gp
0,0.7888833806059752,0.7788497806452951,0.7990603959499667,0.20051593892508363,0.18212432166091483,0.21787582495486713,0.09446946537249878,0.058060502811832525,0.14187125167863693,0.7419014113642726,0.676310802805043,0.8006334582521552,0.16233264391361724,0.11583481356563043,0.21912584927916923,0.6174711281074643,0.5743032496410305,0.6583340964022343,0.38252887189253576,0.3416659035977657,0.4256967503589695,s4,2gp
14,0.7888833806059752,0.7788497806452951,0.7990603959499667,0.20051593892508363,0.18212432166091483,0.21787582495486713,0.09446946537249878,0.058060502811832525,0.14187125167863693,0.7419014113642726,0.676310802805043,0.8006334582521552,0.16233264391361724,0.11583481356563043,0.21912584927916923,0.6174711281074643,0.5743032496410305,0.6583340964022343,0.38252887189253576,0.3416659035977657,0.4256967503589695,s4,2gp
30,0.7888833806059752,0.7788497806452951,0.7990603959499667,0.20051593892508363,0.18212432166091483,0.21787582495486713,0.15176928972088324,0.10324862766102003,0.21173254484428097,0.707045480061125,0.6341739507998927,0.7688475141963707,0.140139160270432,0.0946226529756479,0.19371507632882928,0.5853976999525857,0.5326324995994222,0.6296752020866276,0.4146023000474143,0.3703247979133723,0.4673675004005778,s4,2gp
60,0.7888833806059752,0.7788497806452951,0.7990603959499667,0.20051593892508363,0.18212432166091483,0.21787582495486713,0.08362417974818029,0.04975459695244961,0.12828036579419755,0.7795959891119122,0.7151244078331824,0.8377542688172368,0.13360546273821083,0.08900739130065219,0.1890720799228971,0.6427097385399159,0.5991165228481264,0.6816185587834351,0.35729026146008414,0.31838144121656475,0.40088347715187356,s4,2gp
90,0.7888833806059752,0.7788497806452951,0.7990603959499667,0.20051593892508363,0.18212432166091483,0.21787582495486713,0.08362417974818029,0.04975459695244961,0.12828036579419755,0.7795959891119122,0.7151244078331824,0.8377542688172368,0.13360546273821083,0.08900739130065219,0.1890720799228971,0.6427097385399159,0.5991165228481264,0.6816185587834351,0.35729026146008414,0.31838144121656475,0.40088347715187356,s4,2gp
0,0.7781473346609596,0.768766543955275,0.7876458591957463,0.19035206745497651,0.17009704565658576,0.21052549212410393,0.16732700343939325,0.11905962442327879,0.22520611406255867,0.6177960710792156,0.5474088456609543,0.6827148614413201,0.21390894997854798,0.16184082527647847,0.2754390896566662,0.5213511977467469,0.4736075716041854,0.5667448611268396,0.4786488022532532,0.43325513887316036,0.5263924283958146,s5,2gp
14,0.7781473346609596,0.768766543955275,0.7876458591957463,0.19035206745497651,0.17009704565658576,0.21052549212410393,0.16732700343939325,0.11905962442327879,0.22520611406255867,0.6177960710792156,0.5474088456609543,0.6827148614413201,0.21390894997854798,0.16184082527647847,0.2754390896566662,0.5213511977467469,0.4736075716041854,0.5667448611268396,0.4786488022532532,0.43325513887316036,0.5263924283958146,s5,2gp
30,0.7781473346609596,0.768766543955275,0.7876458591957463,0.19035206745497651,0.17009704565658576,0.21052549212410393,0.125099630035366,0.08107151402910653,0.1801370353363417,0.7136451838250226,0.6451252191544883,0.7728713591022478,0.16081599538443597,0.1150769887514412,0.21490071886228876,0.5860398106925329,0.5388622804336526,0.6280096189076424,0.4139601893074672,0.3719903810923576,0.46113771956634736,s5,2gp
60,0.7781473346609596,0.768766543955275,0.7876458591957463,0.19035206745497651,0.17009704565658576,0.21052549212410393,0.14841772818154736,0.09807330681390217,0.21010190459525396,0.7293195679627802,0.6654064524102321,0.7927124611187332,0.12033415354654492,0.07877631709584196,0.16845856914909565,0.5908862332518381,0.5434106146246616,0.6365705550344097,0.40911376674816197,0.3634294449655903,0.45658938537533833,s5,2gp
90,0.7781473346609596,0.768766543955275,0.7876458591957463,0.19035206745497651,0.17009704565658576,0.21052549212410393,0.14841772818154736,0.09807330681390217,0.21010190459525396,0.7293195679627802,0.6654064524102321,0.7927124611187332,0.12033415354654492,0.07877631709584196,0.16845856914909565,0.5908862332518381,0.5434106146246616,0.6365705550344097,0.40911376674816197,0.3634294449655903,0.45658938537533833,s5,2gp
0,0.7788313928519839,0.7691898797964909,0.7880784706362696,0.17605220693067872,0.15776817062120901,0.19402490345528906,0.13060639702296561,0.09113922324112556,0.18046740698002192,0.7081720909035631,0.6424990427232533,0.7638268948006028,0.16087702805295867,0.1165762089568219,0.2163814228172696,0.5798209692751599,0.5326838667601312,0.6206011197470518,0.4201790307248401,0.3793988802529481,0.46731613323986876,s6,2gp
14,0.7788313928519839,0.7691898797964909,0.7880784706362696,0.17605220693067872,0.15776817062120901,0.19402490345528906,0.13060639702296561,0.09113922324112556,0.18046740698002192,0.7081720909035631,0.6424990427232533,0.7638268948006028,0.16087702805295867,0.1165762089568219,0.2163814228172696,0.5798209692751599,0.5326838667601312,0.6206011197470518,0.4201790307248401,0.3793988802529481,0.46731613323986876,s6,2gp
30,0.7788313928519839,0.7691898797964909,0.7880784706362696,0.17605220693067872,0.15776817062120901,0.19402490345528906,0.17923404455532582,0.12370551253243438,0.24981321814745502,0.7011681140377712,0.6280700145382753,0.769826425914774,0.11716238661367012,0.07606571524256774,0.16881863384630177,0.5670884580394551,0.511540340514611,0.6159012308965822,0.432911541960545,0.38409876910341767,0.48845965948538894,s6,2gp
60,0.7788313928519839,0.7691898797964909,0.7880784706362696,0.17605220693067872,0.15776817062120901,0.19402490345528906,0.10917320445374863,0.07046336217547328,0.15944662630896236,0.7451163783896492,0.6801179404583766,0.8005517434725737,0.14370906133585942,0.10053432910336967,0.19827433854426108,0.6060345921973571,0.561559827337575,0.6443881347585628,0.39396540780264283,0.35561186524143723,0.43844017266242474,s6,2gp
90,0.7788313928519839,0.7691898797964909,0.7880784706362696,0.17605220693067872,0.15776817062120901,0.19402490345528906,0.10917320445374863,0.07046336217547328,0.15944662630896236,0.7451163783896492,0.6801179404583766,0.8005517434725737,0.14370906133585942,0.10053432910336967,0.19827433854426108,0.6060345921973571,0.561559827337575,0.6443881347585628,0.39396540780264283,0.35561186524143723,0.43844017266242474,s6,2gp
