Age,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Var
80,0.15926657649774673,0.1487596964743055,0.17052787626332677,0.15822960850559098,0.14784751249228592,0.16939494036723438,0.1569022097354834,0.14664901520863036,0.1679082096383975,s10
81,0.1608046193973033,0.15004696350479801,0.1725088452562389,0.1597748176204063,0.1491113017345325,0.1713358735249069,0.15841484610950718,0.14789065589294917,0.16981681096648157,s10
82,0.16238373364416314,0.1513077356405444,0.17463401642718118,0.16132813657755868,0.15035425480393946,0.17342679196329913,0.15994303623439005,0.14910194935783133,0.17184355732797274,s10
83,0.16401328450957897,0.15225896253571353,0.17669039675276083,0.16292590227760917,0.15134341496802614,0.17544032122765754,0.16149872288327555,0.1501403268051461,0.17386074335630308,s10
84,0.1655280783705731,0.15326184568463705,0.1789242239638113,0.16442994194572497,0.15230208082078953,0.17761760225824325,0.16299537950715512,0.15104154169591763,0.17590530014805275,s10
85,0.16715882687011224,0.15447006498482915,0.18101681059173538,0.16603981287338776,0.15346900904140973,0.17970925500230328,0.16454385764319118,0.15215478482640993,0.17799534263134248,s10
86,0.16866720043109526,0.1555242142338746,0.18311837148166812,0.16753216183870617,0.1545479853013614,0.1817751021087367,0.1660451935174151,0.1532658436938232,0.18001492522830712,s10
87,0.1704160065399773,0.15668686951312966,0.18524014726869265,0.1692668054102929,0.15568631692767154,0.18388564316563838,0.16774679987648783,0.15437241410078525,0.1821109472868097,s10
88,0.172119569368691,0.15782467153028631,0.1873902794459589,0.1709114807693765,0.15684608975073552,0.1860008454028671,0.16934812897801665,0.15554845062299147,0.18417931475095103,s10
89,0.17383079148535158,0.15906972624844215,0.18963983660228587,0.17263439543758594,0.15800702965432115,0.18820149440750145,0.17102201130589556,0.1565992987687997,0.18631816854696884,s10
90,0.17552360387604368,0.16020584062143783,0.19200408382217699,0.17430405600769722,0.15917768500335844,0.1905290482246522,0.17267309489561894,0.15782771847357777,0.1885981087899609,s10
