Age,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Var
84,0.16020269643052548,0.1474912719255881,0.1741627266019706,0.15913193005376103,0.14655243529201537,0.17290599856293437,0.15770333205357898,0.1453229699900552,0.171258760211698,s10
85,0.16182960353860998,0.14865674855301683,0.17626406573369438,0.16072881166472758,0.14771562779846067,0.17498628211588965,0.15928561554865303,0.14647138986104574,0.17331120097713842,s10
86,0.16349818460265986,0.14991125279746714,0.1783391721612831,0.16238193122515365,0.14891398027677508,0.1770304962039513,0.16091763645165374,0.14760533097376827,0.17531537289878882,s10
87,0.1652108588036678,0.15136846954284167,0.18045848332096015,0.164079870860505,0.1503986202920589,0.1791286477523102,0.16257931845849177,0.14908708731717374,0.17737442543721674,s10
88,0.16690259277124866,0.15237457167072088,0.1826164617319333,0.1657209139698508,0.15140729929694965,0.181261334654775,0.16417808680929158,0.15013723622515904,0.17947535879830331,s10
89,0.16863499078937252,0.1535302137670834,0.18492591318680265,0.1674159518305152,0.15250807671467795,0.1835184063198534,0.16583605728169012,0.15116700298193095,0.18162239065357522,s10
90,0.17051750667153842,0.1548323818372005,0.1872020775636005,0.16926926735943834,0.15381629114497378,0.18575946872263677,0.16765064181612988,0.1524825117114323,0.1838707493041142,s10
91,0.1721909532863797,0.1559106545267879,0.18959341637372554,0.17093200213954135,0.15488018123834124,0.18811057490034902,0.16929212895258694,0.1535276693403544,0.1862006655665416,s10
92,0.17398555205446387,0.15719127614946082,0.19214529334665267,0.17270376851166652,0.15616592577661736,0.1905700033406073,0.17104129394523884,0.1547648446987764,0.18861068635913175,s10
93,0.1757127086473098,0.15814343601567746,0.19477763072321663,0.17442080509860358,0.1571049717440155,0.1931531887722769,0.17273903621367656,0.15574245513970575,0.19105608588240724,s10
94,0.17762325442678079,0.15947613310085088,0.19744312866877553,0.176269206729455,0.15837096294120626,0.19579462324085972,0.174488688904899,0.15692177908325133,0.193636693769935,s10
