study,proxy,Source,Age,norm,norm_leoss,SID,SIK
Drolet et al. 2010,Canada,Poder et al.,99,0.803,0.7975148422768799,DroCAN,1
Drolet et al. 2010,Canada,Poder et al.,100,0.803,0.7965704854672594,DroCAN,1
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,18,0.907,0.9096516110413574,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,19,0.907,0.9079451897089472,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,20,0.907,0.9062230114037858,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,21,0.907,0.904485731337716,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,22,0.907,0.9027340047225808,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,23,0.907,0.9009684867702232,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,24,0.907,0.8991898326924868,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,25,0.889,0.8973986977012142,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,26,0.889,0.8955957370082483,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,27,0.889,0.8937816058254328,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,28,0.889,0.8919569593646102,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,29,0.889,0.8901243637659441,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,30,0.889,0.8882845232310627,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,31,0.889,0.8864353000640065,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,32,0.889,0.8845745565688168,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,33,0.889,0.8827001550495335,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,34,0.889,0.8808099578101979,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,35,0.869,0.8789018271548502,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,36,0.869,0.8769736253875314,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,37,0.869,0.8750232148122822,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,38,0.869,0.873048457733143,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,39,0.869,0.8710803955370293,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,40,0.869,0.8691436629753783,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,41,0.869,0.8672265123990135,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,42,0.869,0.8653171961587584,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,43,0.869,0.8634039666054364,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,44,0.869,0.8614750760898712,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,45,0.849,0.8595187769628861,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,46,0.849,0.8575233215753049,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,47,0.849,0.8554769622779507,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,48,0.849,0.8533679514216471,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,49,0.849,0.8511845413572178,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,50,0.849,0.8490626723769412,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,51,0.849,0.8471031900983946,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,52,0.849,0.8452417048603493,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,53,0.849,0.8434138270015774,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,54,0.849,0.8415551668608496,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,55,0.829,0.839601334776938,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,56,0.829,0.837487941088614,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,57,0.829,0.835150596134649,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,58,0.829,0.8325249102538147,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,59,0.829,0.8295464937848827,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,60,0.829,0.8261408718954906,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,61,0.829,0.8223283030045223,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,62,0.829,0.8181864973276186,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,63,0.829,0.8137931650804191,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,64,0.829,0.8092260164785647,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,65,0.796,0.8045627617376957,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,66,0.796,0.7998811110734524,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,67,0.796,0.795258774701475,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,68,0.796,0.7907734628374042,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,69,0.796,0.7865028856968801,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,70,0.796,0.7825247534955432,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,71,0.796,0.7786161160534333,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,72,0.796,0.7745480406456551,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,73,0.796,0.7703892636704461,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,74,0.796,0.766208521526045,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,75,0.724,0.7620745506106891,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,76,0.724,0.7580560873226162,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,77,0.724,0.7542218680600642,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,78,0.724,0.7506406292212712,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,79,0.724,0.7473811072044746,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,80,0.724,0.7445120384079127,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,81,0.724,0.7418886272192249,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,82,0.724,0.7393323253530704,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,83,0.724,0.7368612401982156,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,84,0.724,0.7344934791434274,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,85,0.724,0.7322471495774723,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,86,0.724,0.7301403588891173,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,87,0.724,0.7281912144671286,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,88,0.724,0.7264178237002734,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,89,0.724,0.7248382939773179,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,90,0.724,0.7234707326870293,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,91,0.724,0.7223133608580247,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,92,0.724,0.7213481412436659,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,93,0.724,0.7205687938198359,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,94,0.724,0.7199690385624179,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,95,0.724,0.7195425954472954,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,96,0.724,0.7192831844503508,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,97,0.724,0.7191845255474677,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,98,0.724,0.719240338714529,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,99,0.724,0.719444343927418,RamARG,2
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,100,0.724,0.7197902611620176,RamARG,2
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,18,0.873,0.8854718207624798,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,19,0.873,0.8825730442321693,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,20,0.876,0.8796745135054226,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,21,0.876,0.8767720774569682,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,22,0.876,0.8738615849615343,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,23,0.876,0.8709388848938499,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,24,0.876,0.8679998261286429,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,25,0.859,0.8650402575406421,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,26,0.859,0.862056028004576,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,27,0.859,0.8590429863951731,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,28,0.859,0.8559969815871616,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,29,0.859,0.8529056368293785,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,30,0.85,0.8497673068744681,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,31,0.85,0.8465939378528695,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,32,0.85,0.8433974758950235,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,33,0.85,0.8401898671313691,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,34,0.85,0.8369830576923467,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,35,0.834,0.8337889937083955,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,36,0.834,0.8306196213099561,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,37,0.834,0.8274868866274678,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,38,0.834,0.8244027357913706,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,39,0.834,0.8212422104025666,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,40,0.817,0.8179029258665242,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,41,0.817,0.8144306890205334,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,42,0.817,0.8108713067018822,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,43,0.817,0.8072705857478606,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,44,0.817,0.8036743329957576,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,45,0.801,0.8001283552828622,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,46,0.801,0.7966784594464636,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,47,0.801,0.7933704523238514,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,48,0.801,0.7902501407523144,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,49,0.801,0.7873633315691417,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,50,0.765,0.7845868919959823,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,51,0.765,0.7817910572323714,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,52,0.765,0.7790116860824275,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,53,0.765,0.7762846373502704,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,54,0.765,0.7736457698400186,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,55,0.762,0.7711309423557913,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,56,0.762,0.7687760137017075,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,57,0.762,0.7666168426818861,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,58,0.762,0.7646892881004462,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,59,0.762,0.7630292087615069,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,60,0.761,0.7617088614626624,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,61,0.761,0.7607410063149412,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,62,0.761,0.7600722570926135,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,63,0.761,0.7596492275699496,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,64,0.761,0.7594185315212196,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,65,0.761,0.7593267827206938,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,66,0.761,0.7593205949426424,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,67,0.761,0.7593465819613355,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,68,0.761,0.7593513575510437,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,69,0.761,0.7592815354860366,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,70,0.761,0.759083729540585,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,71,0.761,0.7588635993109165,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,72,0.761,0.758749151695992,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,73,0.761,0.7587205214241807,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,74,0.761,0.7587578432238525,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,75,0.761,0.7588412518233768,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,76,0.761,0.7589508819511233,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,77,0.761,0.759066868335461,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,78,0.761,0.7591693457047601,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,79,0.761,0.7592384487873896,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,80,0.761,0.7592543123117194,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,81,0.761,0.759256370300281,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,82,0.761,0.7592944201149121,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,83,0.761,0.7593641414929402,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,84,0.761,0.7594612141716944,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,85,0.761,0.759581317888502,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,86,0.761,0.7597201323806919,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,87,0.761,0.7598733373855917,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,88,0.761,0.7600366126405299,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,89,0.761,0.7602056378828345,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,90,0.761,0.7603760928498338,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,91,0.761,0.7605493834966736,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,92,0.761,0.760730713802799,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,93,0.761,0.7609214605419868,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,94,0.761,0.7611230004880143,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,95,0.761,0.7613367104146581,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,96,0.761,0.7615639670956952,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,97,0.761,0.7618061473049021,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,98,0.761,0.7620646278160561,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,99,0.761,0.7623407854029343,RamCRI,3
Rampakakis et al. 2017 Costa Rica,Brazil,Santos et al.,100,0.761,0.7626359968393129,RamCRI,3
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,18,0.957,0.9506225131279624,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,19,0.957,0.9527585270651882,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,20,0.957,0.9546669410845244,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,21,0.957,0.9563462107280364,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,22,0.957,0.9577947915377888,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,23,0.957,0.9590111390558468,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,24,0.957,0.9599937088242748,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,25,0.958,0.960740956385138,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,26,0.958,0.9612513372805016,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,27,0.958,0.9615233070524306,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,28,0.958,0.9615553212429891,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,29,0.958,0.9613383366080624,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,30,0.958,0.9608682407837426,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,31,0.958,0.9601508856324066,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,32,0.958,0.9591921230164324,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,33,0.958,0.9579978047981969,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,34,0.958,0.9565737828400774,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,35,0.949,0.9549259090044512,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,36,0.949,0.9530600351536958,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,37,0.949,0.950982013150188,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,38,0.949,0.9486976948563056,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,39,0.949,0.946128817438954,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,40,0.949,0.94321295158893,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,41,0.949,0.9399796994544488,RamKOR,4
