b0,sigma,lp__,Model,bd15,bd30
0.6883320187281833,0.11234315365138359,121.56031675713933,C1,NA,NA
0.723753593834072,0.10390564071171365,126.2500736169907,C1,NA,NA
0.7544518367543168,0.10240871761748982,120.09017079220003,C1,NA,NA
0.7004071504570216,0.09714370094147011,124.33191725965628,C1,NA,NA
0.7119328137050698,0.1082514092060808,124.86721188625846,C1,NA,NA
0.7109941539474394,0.10902967249430706,125.51410668881468,C1,NA,NA
0.7115320155198984,0.11242391749363448,123.99587490914843,C1,NA,NA
0.7224159833402183,0.10122729938905276,124.0458691736881,C1,NA,NA
0.7038982118222832,0.10673746281041438,125.38913913002315,C1,NA,NA
0.7239668967209848,0.1022857126174713,126.3424645487044,C1,NA,NA
0.7243183610306023,0.10993723965911702,125.22020127351972,C1,NA,NA
0.7078378421418767,0.09718984208089534,125.03193806352104,C1,NA,NA
0.7193605831492101,0.10162139785529274,126.2498469892666,C1,NA,NA
0.7043663671406613,0.09489056425305205,124.657341187891,C1,NA,NA
0.7016787011853818,0.0993472464920242,125.02485813261684,C1,NA,NA
0.7119288511724492,0.09595576995983301,124.87397141876579,C1,NA,NA
0.7250835743279718,0.10739464396156317,125.87375579531539,C1,NA,NA
0.7194920436336594,0.10068735693619117,126.1566814428845,C1,NA,NA
0.7283903334455933,0.09589831043935587,125.15636208369098,C1,NA,NA
0.7275106072507792,0.10824161954962538,125.68766951988589,C1,NA,NA
0.7118164434050501,0.10011812301169554,125.71451384200975,C1,NA,NA
0.7171561779873165,0.09555475292467666,125.86804216574592,C1,NA,NA
0.7199827544713379,0.10106221046110375,126.52292731241636,C1,NA,NA
0.7135551782497638,0.10117287516285856,126.252174089784,C1,NA,NA
0.7204071966248691,0.10838864488644001,123.20661155075976,C1,NA,NA
0.6926233090154974,0.1000474862167682,122.81461534608303,C1,NA,NA
0.7009502534005895,0.09596588067151107,124.29551004514484,C1,NA,NA
0.7229154243226737,0.0974958977964502,122.97892071079328,C1,NA,NA
0.725647023262274,0.09620032701828105,124.99095571628054,C1,NA,NA
0.7252218198831251,0.10935372564258986,123.77544476959243,C1,NA,NA
0.7278012198189604,0.10745867611887927,123.69244275182986,C1,NA,NA
0.7070779531383102,0.10536647638989591,125.86462892730381,C1,NA,NA
0.7271860796779324,0.10636876908206191,125.06197107249531,C1,NA,NA
0.6993219692414078,0.11479241910663843,123.21119992796795,C1,NA,NA
0.7102093912253268,0.1058820261835148,125.2224787027746,C1,NA,NA
0.718464598512615,0.09738065401441497,125.76292918609798,C1,NA,NA
0.7096993449183874,0.1047374960110147,125.95664678985314,C1,NA,NA
0.7170377884782116,0.10080222423773533,126.27719158515006,C1,NA,NA
0.7231122404201723,0.10435257160625386,125.5468787566333,C1,NA,NA
0.7089401630288775,0.1014158902754677,125.77413511227525,C1,NA,NA
0.7378478515410284,0.10250414882339129,124.53970986052295,C1,NA,NA
0.7262126902720889,0.10251550587839883,122.45137431183912,C1,NA,NA
0.705120602777035,0.10185689704503925,125.04637333614751,C1,NA,NA
0.7387968124683134,0.10179836175535627,123.48400184227876,C1,NA,NA
0.7229494349305071,0.09995465275914585,126.23265773167219,C1,NA,NA
0.7024566955542394,0.10468493402333585,124.9426289018469,C1,NA,NA
0.7091020688314067,0.09547978746513158,124.28377715421547,C1,NA,NA
0.7235223606232323,0.0956970188799701,124.88066041526129,C1,NA,NA
0.7167232596652043,0.10720513778283718,125.69520544637153,C1,NA,NA
0.7260819330087976,0.11312957660170016,124.76256981350093,C1,NA,NA
0.7114844291540419,0.1136906468849179,124.74649631258552,C1,NA,NA
0.7120076785386913,0.10567906883542576,126.17491458548643,C1,NA,NA
0.7196040512749415,0.10449485844342966,125.88117442017574,C1,NA,NA
0.7148102182455741,0.091782848366892,124.7149032388453,C1,NA,NA
0.7184890734358301,0.09667428582358464,126.11557328988906,C1,NA,NA
0.7236933881342831,0.09728916107375046,126.05812246792247,C1,NA,NA
0.7224107300950711,0.10729678114138456,125.8606804668686,C1,NA,NA
0.7074878451559077,0.10659718072125976,125.80645785538317,C1,NA,NA
0.7171043728549193,0.10011379237341177,123.28743023112766,C1,NA,NA
0.7110656620194168,0.1038125666033978,126.2839009894098,C1,NA,NA
0.7194137788184196,0.10855335339620624,126.02794087201728,C1,NA,NA
0.7226662412780154,0.09409367317834859,124.93272654230034,C1,NA,NA
0.7190056520146055,0.11656841577250458,123.3333005918654,C1,NA,NA
0.7337672683926242,0.09919341229381984,124.44206946342563,C1,NA,NA
0.7205388477134215,0.09938430748163486,126.43825350590161,C1,NA,NA
0.7195829952337668,0.0925862804966786,124.71244840676297,C1,NA,NA
0.7168306038330339,0.10238880545502953,126.45014919470839,C1,NA,NA
0.7173375597585095,0.10062021059478775,125.16437212393276,C1,NA,NA
0.7322449697846788,0.10143558413251215,125.57881456393287,C1,NA,NA
0.724779544155013,0.11924532127549953,122.7807502642231,C1,NA,NA
0.7164190403637841,0.10651385116930817,126.23165073867617,C1,NA,NA
0.7286387533166567,0.11725511295517602,123.35175960906356,C1,NA,NA
0.701395187564526,0.108645542396354,124.64458960372235,C1,NA,NA
0.7128717310475953,0.1156016312599465,122.59661465696188,C1,NA,NA
0.724546228842104,0.11108687967074828,125.28068097959509,C1,NA,NA
0.7166735430295282,0.10285495084888184,126.5531992669963,C1,NA,NA
0.7009515902999763,0.10858727663241917,124.74301692940377,C1,NA,NA
0.7099506050723046,0.09834114858921507,125.92306786514331,C1,NA,NA
